PerturbationCondition,Level,Method,MeanARI,SDARI,MeanG,SDG,N
Shift magnitude,4,PCA,0.641833280336511,0.0564285936893038,9.1,1.19721899973786,10
Shift magnitude,4,PcaGrid,0.00054156383812491,0.0021067103156126,8.5,4.11636301174282,10
Shift magnitude,4,PcaHubert,0.826878932343053,0.10796836378835,6.1,0.875595035770913,10
Shift magnitude,4,PCP,0.980615024796775,0.00840047768092271,5,0,10
Shift magnitude,4,K's tau,0.847756867039233,0.15566391371244,6.3,1.70293863659264,10
Shift magnitude,4,Winsor,0.658392840764267,0.103964495870911,8.7,1.76698110409314,10
Shift magnitude,4,Quad,0.696802326940882,0.11781048352353,8.1,1.59513148186739,10
Shift magnitude,4,Ball,0.73802621204436,0.131099441992544,7.3,1.56702123647242,10
Shift magnitude,4,Shell,0.6437473726296,0.0609194939832203,8.4,1.26491106406735,10
Shift magnitude,4,LR,0.722494416952016,0.103742562643758,7.5,1.26929551764398,10
Shift magnitude,5,PCA,0.688848536542082,0.0789301394509254,8.2,1.13529242439509,10
Shift magnitude,5,PcaGrid,0.00122932783448987,0.00373125495975412,11,3.23178657161089,10
Shift magnitude,5,PcaHubert,0.831649817940045,0.12363774688949,6.1,0.875595035770913,10
Shift magnitude,5,PCP,0.976296203148167,0.0113441791041781,5.2,0.421637021355784,10
Shift magnitude,5,K's tau,0.807056628044348,0.127389065631529,6.4,1.07496769977314,10
Shift magnitude,5,Winsor,0.651390057471604,0.0879261927923994,8.7,1.41813649241218,10
Shift magnitude,5,Quad,0.672432491852334,0.0767083894451024,8.4,1.07496769977314,10
Shift magnitude,5,Ball,0.762903349980008,0.139125822499659,7,1.56347191994114,10
Shift magnitude,5,Shell,0.687740386225511,0.0894547896581627,7.8,1.31656117720877,10
Shift magnitude,5,LR,0.771541452656681,0.107214958448221,6.9,1.10050493461461,10
