DatasetName,Method,Metric,Replicate,ClusterRep,ARI,Group,ObservationLevel,Figure6SummaryLevel,ResultStatus
Bhattacherjee,Ball,FULL vs subset,4,3,0.676537944406772,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,4,4,0.677329612397979,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,4,5,0.635570146429674,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,4,6,0.73576235089265,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,4,7,0.74667072212304,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,4,8,0.628619102562754,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,4,9,0.60962649657425,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,4,10,0.689265408257296,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,5,1,0.6642640552854,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,5,2,0.70203683516249,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,5,3,0.680377956585082,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,5,4,0.616690619593006,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,5,5,0.593098500945175,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,5,6,0.715733054799565,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,5,7,0.805653274026566,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,5,8,0.670345351795633,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,5,9,0.680188249660588,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,5,10,0.682990676184402,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,6,1,0.839462837904772,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,6,2,0.813250222810622,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,6,3,0.623450901031647,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,6,4,0.615710170964358,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,6,5,0.670485487455358,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,6,6,0.677826811811322,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,6,7,0.751305192120254,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,6,8,0.649333544174848,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,6,9,0.631194782179371,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,6,10,0.696674311244378,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,7,1,0.647263420250673,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,7,2,0.601986400927572,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,7,3,0.673119565061772,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,7,4,0.791082668077956,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,7,5,0.738209055328889,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,7,6,0.624109002358689,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,7,7,0.689127927410524,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,7,8,0.666885463138879,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,7,9,0.585499029986063,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,7,10,0.692598513162912,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,8,1,0.717505283542378,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,8,2,0.748232057097995,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,8,3,0.749205605298003,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,8,4,0.831160346516823,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,8,5,0.737846687679536,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
Bhattacherjee,Ball,FULL vs subset,8,6,0.728683678244285,Proposed,clustering run,20 subset means; each mean averages 10 clustering runs,validated merged formal result; PCP XV corrected
