PerturbationCondition,Level,Method,Mean,SD,Median,Q1,Q3,N
Shift magnitude,1.5,PCP,0.998644444430795,0.000831531698307747,0.999049084705655,0.998448897128535,0.999119690042235,10
Shift magnitude,1.5,K's tau,0.983472961915667,0.0430401696626823,0.997530716991353,0.997264543282601,0.998857262713447,10
Shift magnitude,1.5,Winsor,0.996203767692767,0.00310783022782164,0.997188562316365,0.994880989348702,0.998316379315945,10
Shift magnitude,1.5,Quad,0.997323104988527,0.00201630908959656,0.997933425722722,0.997325804886768,0.998567775699648,10
Shift magnitude,1.5,Ball,0.987796270778735,0.0300136460600156,0.998039292649394,0.997180044167644,0.998296160947156,10
Shift magnitude,1.5,Shell,0.997561432109537,0.00307533503893512,0.998465749913675,0.998029437234177,0.998728020554345,10
Shift magnitude,1.5,LR,0.997795829851821,0.00138676855638886,0.998300069289663,0.997360318414829,0.998777207998276,10
Shift magnitude,4,PCA,0.971138008681218,0.020050900789729,0.971540386636999,0.95781256062751,0.988970154336488,10
Shift magnitude,4,PcaGrid,0.126584032084199,0.0652852128424656,0.10066715531427,0.0959463032598965,0.191158822867885,10
Shift magnitude,4,PcaHubert,0.774732953946307,0.0860426447410513,0.781089787043554,0.747560083603711,0.821515739462878,10
Shift magnitude,4,PCP,0.992690306039876,0.00364813987456759,0.993940324794586,0.990997493460899,0.994977988923661,10
Shift magnitude,4,K's tau,0.912554573457142,0.0874295217101294,0.954093337519197,0.82303148237896,0.989285984019119,10
Shift magnitude,4,Winsor,0.944166381307081,0.0505642923297495,0.966853045721156,0.913439060297504,0.983656702719076,10
Shift magnitude,4,Quad,0.964171686345638,0.0289826141031138,0.972621825184498,0.957116737062826,0.983914270096891,10
Shift magnitude,4,Ball,0.955411031714297,0.054488193898875,0.972749296656596,0.959371594766118,0.985427388289929,10
Shift magnitude,4,Shell,0.979743479791855,0.00765154413005282,0.979381977237864,0.976277290805641,0.986284349193141,10
Shift magnitude,4,LR,0.963959633813138,0.0345404345800901,0.982073774147911,0.937944439900682,0.988912470108611,10
Shift magnitude,5,PCA,0.942119472149962,0.0452011661398745,0.952753407379889,0.914855012681794,0.978659638509398,10
Shift magnitude,5,PcaGrid,0.152496913511642,0.135459959898768,0.142883718022834,0.0240228287006143,0.260277695845764,10
