Metric,PerturbationCondition,Level,Method,Mean,SD,N
NMI,Dropout midpoint,1,PCP,0.637284473732234,0.107683426378319,10
NMI,Dropout midpoint,1,K's tau,0.73769693971395,0.0681674544499094,10
NMI,Dropout midpoint,1,Winsor,0.741979141562899,0.0762581908120675,10
NMI,Dropout midpoint,1,Quad,0.740338272369969,0.0759167751493326,10
NMI,Dropout midpoint,1,Ball,0.729770068141746,0.0706194120304955,10
NMI,Dropout midpoint,1,Shell,0.729735988894416,0.067336814585443,10
NMI,Dropout midpoint,1,LR,0.735599445779208,0.0705671943513666,10
NMI,Dropout midpoint,2,PCA,0.448582335956755,0.112915980393394,10
NMI,Dropout midpoint,2,PcaGrid,0.00812594984634437,0.00539432676554841,10
NMI,Dropout midpoint,2,PcaHubert,0.412446695654483,0.12200979759895,10
NMI,Dropout midpoint,2,PCP,0.18466056724983,0.0837987228753732,10
NMI,Dropout midpoint,2,K's tau,0.439340580250671,0.106051376499838,10
NMI,Dropout midpoint,2,Winsor,0.449852160385383,0.112727100013933,10
NMI,Dropout midpoint,2,Quad,0.444029208599299,0.111343469851711,10
NMI,Dropout midpoint,2,Ball,0.452999479309018,0.118924548960775,10
NMI,Dropout midpoint,2,Shell,0.44487555656913,0.109180842021625,10
NMI,Dropout midpoint,2,LR,0.452894843965018,0.126765157337137,10
NMI,Dropout midpoint,3,PCA,0.173355369311562,0.0624368286409551,10
NMI,Dropout midpoint,3,PcaGrid,0.00508036391248495,0.00191428873113451,10
NMI,Dropout midpoint,3,PcaHubert,0.148143245302592,0.0582866079921701,10
NMI,Dropout midpoint,3,PCP,0.0301288310652064,0.0139298662510268,10
NMI,Dropout midpoint,3,K's tau,0.157973070178938,0.0513638070361786,10
NMI,Dropout midpoint,3,Winsor,0.171182670557695,0.0644948199394834,10
NMI,Dropout midpoint,3,Quad,0.158116635723271,0.049830458875518,10
NMI,Dropout midpoint,3,Ball,0.155292558559487,0.0666883252409814,10
NMI,Dropout midpoint,3,Shell,0.154126711209018,0.0765910994863794,10
NMI,Dropout midpoint,3,LR,0.160513402509303,0.0639580569011053,10
NMI,Doublet fraction,2%,PCA,0.932000929031122,0.0255679486670312,10
NMI,Doublet fraction,2%,PcaGrid,0.00778510777810902,0.00296064955275783,10
NMI,Doublet fraction,2%,PcaHubert,0.900109863831711,0.0458191397065563,10
NMI,Doublet fraction,2%,PCP,0.9314879875147,0.0391328697094498,10
