BaseID,Replicate,ParamID,Condition,dropout_mid,doublet_frac,cell_frac,meanlog,Method,PCwisePC10,PCwisePC20
1,2,3,dropout,0,,,,Quad,1,1
1,2,3,dropout,0,,,,Shell,1,1
1,2,3,dropout,0,,,,Winsor,1,1
1,3,3,dropout,0,,,,Ball,1,1
1,3,3,dropout,0,,,,K's tau,1,1
1,3,3,dropout,0,,,,LR,1,1
1,3,3,dropout,0,,,,PCA,1,1
1,3,3,dropout,0,,,,PCP,1,1
1,3,3,dropout,0,,,,PcaGrid,1,1
1,3,3,dropout,0,,,,PcaHubert,1,1
1,3,3,dropout,0,,,,Quad,1,1
1,3,3,dropout,0,,,,Shell,1,1
1,3,3,dropout,0,,,,Winsor,1,1
1,4,3,dropout,0,,,,Ball,1,1
1,4,3,dropout,0,,,,K's tau,1,1
1,4,3,dropout,0,,,,LR,1,1
1,4,3,dropout,0,,,,PCA,1,1
1,4,3,dropout,0,,,,PCP,1,1
1,4,3,dropout,0,,,,PcaGrid,1,1
1,4,3,dropout,0,,,,PcaHubert,1,1
1,4,3,dropout,0,,,,Quad,1,1
1,4,3,dropout,0,,,,Shell,1,1
1,4,3,dropout,0,,,,Winsor,1,1
1,5,3,dropout,0,,,,Ball,1,1
1,5,3,dropout,0,,,,K's tau,1,1
1,5,3,dropout,0,,,,LR,1,1
1,5,3,dropout,0,,,,PCA,1,1
1,5,3,dropout,0,,,,PCP,1,1
1,5,3,dropout,0,,,,PcaGrid,1,1
1,5,3,dropout,0,,,,PcaHubert,1,1
1,5,3,dropout,0,,,,Quad,1,1
1,5,3,dropout,0,,,,Shell,1,1
1,5,3,dropout,0,,,,Winsor,1,1
1,6,3,dropout,0,,,,Ball,1,1
1,6,3,dropout,0,,,,K's tau,1,1
1,6,3,dropout,0,,,,LR,1,1
1,6,3,dropout,0,,,,PCA,1,1
1,6,3,dropout,0,,,,PCP,1,1
1,6,3,dropout,0,,,,PcaGrid,1,1
1,6,3,dropout,0,,,,PcaHubert,1,1
1,6,3,dropout,0,,,,Quad,1,1
1,6,3,dropout,0,,,,Shell,1,1
1,6,3,dropout,0,,,,Winsor,1,1
1,7,3,dropout,0,,,,Ball,1,1
1,7,3,dropout,0,,,,K's tau,1,1
1,7,3,dropout,0,,,,LR,1,1
1,7,3,dropout,0,,,,PCA,1,1
1,7,3,dropout,0,,,,PCP,1,1
1,7,3,dropout,0,,,,PcaGrid,1,1
1,7,3,dropout,0,,,,PcaHubert,1,1
1,7,3,dropout,0,,,,Quad,1,1
